index,season,metric,value
15,2018-19,TRB,465.0
16,2019-20,TRB,525.0
17,2020-21,TRB,346.0
18,2021-22,TRB,141.0
0,2003-04,TRB,432.0
1,2004-05,TRB,588.0
2,2005-06,TRB,556.0
3,2006-07,TRB,526.0
4,2007-08,TRB,592.0
5,2008-09,TRB,613.0
6,2009-10,TRB,554.0
7,2010-11,TRB,590.0
8,2011-12,TRB,492.0
9,2012-13,TRB,610.0
10,2013-14,TRB,533.0
11,2014-15,TRB,416.0
12,2015-16,TRB,565.0
13,2016-17,TRB,639.0
14,2017-18,TRB,709.0
15,2018-19,TRB,465.0
16,2019-20,TRB,525.0
17,2020-21,TRB,346.0
18,2021-22,TRB,141.0
0,2003-04,AST,465.0
1,2004-05,AST,577.0
2,2005-06,AST,521.0
3,2006-07,AST,470.0
4,2007-08,AST,539.0
5,2008-09,AST,587.0
6,2009-10,AST,651.0
7,2010-11,AST,554.0
8,2011-12,AST,387.0
9,2012-13,AST,551.0
10,2013-14,AST,488.0
11,2014-15,AST,511.0
12,2015-16,AST,514.0
13,2016-17,AST,646.0
14,2017-18,AST,747.0
15,2018-19,AST,454.0
16,2019-20,AST,684.0
17,2020-21,AST,350.0
18,2021-22,AST,137.0
0,2003-04,AST,465.0
1,2004-05,AST,577.0
2,2005-06,AST,521.0
3,2006-07,AST,470.0
4,2007-08,AST,539.0
5,2008-09,AST,587.0
6,2009-10,AST,651.0
7,2010-11,AST,554.0
8,2011-12,AST,387.0
9,2012-13,AST,551.0
10,2013-14,AST,488.0
11,2014-15,AST,511.0
12,2015-16,AST,514.0
13,2016-17,AST,646.0
14,2017-18,AST,747.0
15,2018-19,AST,454.0
16,2019-20,AST,684.0
17,2020-21,AST,350.0
18,2021-22,AST,137.0
0,2003-04,AST,465.0
1,2004-05,AST,577.0
2,2005-06,AST,521.0
3,2006-07,AST,470.0
4,2007-08,AST,539.0
5,2008-09,AST,587.0
6,2009-10,AST,651.0
7,2010-11,AST,554.0
8,2011-12,AST,387.0
9,2012-13,AST,551.0
10,2013-14,AST,488.0
11,2014-15,AST,511.0
12,2015-16,AST,514.0
13,2016-17,AST,646.0
14,2017-18,AST,747.0
15,2018-19,AST,454.0
16,2019-20,AST,684.0
17,2020-21,AST,350.0
18,2021-22,AST,137.0
0,2003-04,AST,465.0
1,2004-05,AST,577.0
2,2005-06,AST,521.0
3,2006-07,AST,470.0
4,2007-08,AST,539.0
5,2008-09,AST,587.0
